Ex-Date,Dividend Amount,Dividend Type,Record Date
"Feb. 11, 2021",2.5,INTERIM,"Feb. 12, 2021"
"Nov. 21, 2019",2.5,INTERIM,"Nov. 22, 2019"
"Feb. 14, 2019",2.5,INTERIM,"Feb. 15, 2019"
"Aug. 9, 2017",2.5,INTERIM,"Aug. 10, 2017"
"Aug. 23, 2016",3.5,INTERIM,"Aug. 24, 2016"
"July 22, 2013",2.0,FINAL,-
"July 7, 2011",0.75,FINAL,-
"Jan. 12, 2010",3.0,FINAL,-
"Jan. 16, 2009",0.5,FINAL,-
"Dec. 22, 2006",1.5,FINAL,-
"May 16, 2006",2.0,INTERIM,"May 17, 2006"
"July 11, 2005",1.6,FINAL,-
"July 15, 2004",10.0,FINAL,-
"July 11, 2003",5.5,FINAL,-
"July 12, 2002",0.0,FINAL,-
"July 2, 2001",0.0,FINAL,-
